Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Peugeot,Peugeot 508,14000,PLN,Diesel,380000,2011,Manualna,NULL
Audi,Audi Q5 40 TDI quattro S tronic S line,138900,PLN,Diesel,121000,2021,Automatyczna,NULL
Ford,Ford Focus 2.0 16V Titanium,11999,PLN,Benzyna,170000,2008,Manualna,2.0
Volvo,Volvo V90 D5 SCR AWD R-Design,114900,PLN,Diesel,158792,2020,Automatyczna,NULL
Citroën,Citroën C5 Aircross 1.5 BlueHDi Feel Pack EAT8,49900,PLN,Diesel,165000,2020,Automatyczna,1.5
Citroën,Citroën C4,29900,PLN,Benzyna,93123,2018,Manualna,NULL
Volkswagen,Volkswagen Touran 2.0 TDI Trendline,8500,PLN,Diesel,367000,2004,Manualna,2.0
BMW,BMW X5 xDrive45e,199000,PLN,Hybryda,112600,2020,Automatyczna,NULL
BMW,BMW Seria 3 320i Sport Line,32999,PLN,Benzyna,220000,2012,Manualna,NULL
Opel,Opel Astra 1.5 D Automatik Business Elegance,58000,PLN,Diesel,167150,2024,Automatyczna,1.5
Kia,Kia Stonic 1.0 T-GDI 120 Platinum Edition,52900,PLN,Benzyna,80500,2019,Manualna,1.0
BMW,BMW X3 2.0d,14800,PLN,Diesel,265500,2005,Manualna,2.0
Opel,Opel Insignia 2.0 CDTI ecoFLEX Business Edition,8950,PLN,Diesel,272540,2009,Manualna,2.0
Volkswagen,Volkswagen Passat 2.0 TDI Business DSG,84900,PLN,Diesel,173000,2022,Automatyczna,2.0
Citroën,Citroën C4 Picasso 1.8 16V Tendance,11900,PLN,Benzyna,193850,2008,Manualna,1.8
Jeep,Jeep Grand Cherokee,27900,PLN,Diesel,222832,2006,Automatyczna,NULL
Skoda,Skoda Fabia 1.6 TDI DPF Active,13500,PLN,Diesel,262204,2013,Manualna,1.6
Opel,Opel Antara 2.0 CDTI Automatik 4x4 Edition,16900,PLN,Diesel,170150,2008,Automatyczna,2.0
Audi,Audi A6 Allroad 3.0 TDI Quattro Tiptr,98400,PLN,Diesel,250840,2016,Automatyczna,3.0
Fiat,Fiat Tipo 1.4 16v Easy,12999,PLN,Benzyna+LPG,396254,2016,Manualna,1.4
Fiat,Fiat Tipo 1.4 16v Easy,13499,PLN,Benzyna+LPG,359495,2017,Manualna,1.4
Citroën,Citroën C3 Aircross 1.2 mHEV Max S&S eDCT6,99900,PLN,Benzyna,15,2026,Automatyczna,1.2
Peugeot,Peugeot 2008 1.2 PureTech GT Line S&S EAT8,72500,PLN,Benzyna,31000,2021,Automatyczna,1.2
BMW,BMW Seria 3 318d Sport Line,45000,PLN,Diesel,213096,2015,Automatyczna,NULL
Honda,Honda HR-V 1.6 i-DTEC Elegance (ADAS/Honda Connect+),46900,PLN,Diesel,151372,2016,Manualna,1.6
Audi,Audi A4 Avant 40 TFSI mHEV Quattro S tronic,139500,PLN,Benzyna,27600,2023,Automatyczna,NULL
Audi,Audi Q3 40 TFSI Quattro S-Line S tronic,194900,PLN,Benzyna,14078,2025,Automatyczna,NULL
Citroën,Citroën C5 Aircross 1.5 BlueHDi C-Series EAT8,73900,PLN,Diesel,73500,2021,Automatyczna,1.5
Volkswagen,Volkswagen Touran 1.6 TDI DPF Comfortline,18900,PLN,Diesel,321507,2012,Manualna,1.6
Toyota,Toyota Corolla 1.2 T Active,48900,PLN,Benzyna,178000,2020,Manualna,1.2
MINI,MINI Cooper S Standard,15000,PLN,Benzyna,144000,2007,Manualna,NULL
BMW,BMW Seria 3,173912,PLN,Diesel,149000,2023,Automatyczna,NULL
BMW,BMW X2,239900,PLN,Diesel,15490,2025,Automatyczna,NULL
MINI,MINI Cooper S,29900,PLN,Benzyna,179279,2012,Manualna,NULL
Ford,Ford Grand C-MAX 1.5 EcoBoost Start-Stopp-System Titanium,39999,PLN,Benzyna,149000,2018,Manualna,1.5
Audi,Audi A4 Limousine,16000,PLN,Benzyna,318000,2008,Manualna,NULL
Mercedes-Benz,Mercedes-Benz Klasa A,89000,PLN,Benzyna,126563,2016,Automatyczna,NULL
Fiat,Fiat Tipo 1.4 16v Lounge,36500,PLN,Benzyna,98000,2017,Manualna,1.4
Renault,Renault Espace Energy dCi 160 EDC Intens,63800,PLN,Diesel,133711,2017,Automatyczna,NULL
Opel,Opel Grandland X 1.2 Start/Stop Business INNOVATION,61900,PLN,Benzyna,94893,2019,Manualna,1.2
Ford,Ford Mondeo,40000,PLN,Diesel,185000,2016,Manualna,NULL
Renault,Renault Captur TCe 150 EDC GPF INTENS,61900,PLN,Benzyna,75515,2019,Automatyczna,NULL
Renault,Renault Kadjar 1.3 TCe FAP Limited,61900,PLN,Benzyna,76350,2018,Manualna,1.3
Kia,Kia Ceed 1.0 T-GDI 120 OPF Edition 7,55500,PLN,Benzyna,104500,2019,Manualna,1.0
Ford,Ford Kuga,36900,PLN,Diesel,128876,2013,Automatyczna,NULL
BMW,BMW X4,205899,PLN,Diesel,36003,2023,Automatyczna,NULL
Volvo,Volvo S60 T3 Summum,32500,PLN,Benzyna,220000,2014,Manualna,NULL
Citroën,Citroën DS3 1.6 THP SportChic,7300,PLN,Benzyna,146282,2010,Manualna,1.6
BMW,BMW Seria 5 540i xDrive mHEV M Sport sport,229000,PLN,Benzyna,95791,2022,Automatyczna,NULL
Alfa Romeo,Alfa Romeo Stelvio,471000,PLN,Benzyna,7,2026,Automatyczna,NULL
Alfa Romeo,Alfa Romeo Stelvio 2.2 JTDM Veloce Q4,288000,PLN,Diesel,7,2026,Automatyczna,2.2
Mercedes-Benz,Mercedes-Benz CLS 350 CDI 4Matic 7G-TRONIC Edition 1,67700,PLN,Diesel,92860,2013,Automatyczna,NULL
Alfa Romeo,Alfa Romeo Junior,134900,PLN,Hybryda,7,2026,Automatyczna,NULL
Opel,Opel Insignia,75899,PLN,Benzyna,111520,2022,Automatyczna,NULL
Opel,Opel Insignia,79899,PLN,Diesel,81314,2022,Automatyczna,NULL
Audi,Audi Q7 45 TDI mHEV Quattro S Line Tiptr,228900,PLN,Diesel,92000,2023,Automatyczna,NULL
Volkswagen,Volkswagen Arteon 2.0 TDI SCR Elegance DSG,94899,PLN,Diesel,156900,2023,Automatyczna,2.0
Toyota,Toyota Yaris 1.0 Active EU6,34900,PLN,Benzyna,174044,2016,Manualna,1.0
Hyundai,Hyundai Tucson,92400,PLN,Hybryda Plug-in,61380,2022,Automatyczna,NULL
Hyundai,Hyundai ix35,33900,PLN,Diesel,207473,2010,Automatyczna,NULL
Kia,Kia Sportage 1.6 T-GDI M 2WD DCT,107900,PLN,Benzyna,43842,2024,Automatyczna,1.6
Fiat,Fiat 125p,15999,PLN,Benzyna,28500,1988,Manualna,NULL
Skoda,Skoda Citigo 1.0 Ambition,10000,PLN,Benzyna,196095,2012,Manualna,1.0
Jeep,Jeep Compass 2.2 CRD 4x4 Limited,20000,PLN,Diesel,220600,2012,Manualna,2.2
Volkswagen,Volkswagen T-Roc 2.0 TSI 4Motion DSG Sport,72900,PLN,Benzyna,188000,2019,Automatyczna,2.0
Audi,Audi A6 Avant 50 TFSI e PHEV Quattro S Line S tronic,189900,PLN,Hybryda Plug-in,19155,2025,Automatyczna,NULL
Renault,Renault Clio,24900,PLN,Benzyna,119987,2014,Manualna,NULL
Volvo,Volvo XC 90,219900,PLN,Benzyna,144256,2022,Automatyczna,NULL
Kia,Kia Sportage 1.6 T-GDI AWD GT LINE,42700,PLN,Benzyna,197000,2017,Manualna,1.6
Porsche,Porsche 718 Boxster GTS 4.0 PDK,340000,PLN,Benzyna,4150,2023,Automatyczna,4.0
Fiat,Fiat Panda,5900,PLN,Benzyna+LPG,208200,2011,Manualna,NULL
Renault,Renault Clio 1.2 16V Exception,7999,PLN,Benzyna,244000,2006,Manualna,1.2
Dacia,Dacia Bigster 1.2 TCe Hybrid-G 150 Journey 4x4,130899,PLN,Hybryda,5,2026,Automatyczna,1.2
Dacia,Dacia Sandero Stepway,81899,PLN,Benzyna+LPG,5,2026,Manualna,NULL
Renault,Renault Captur 1.2 TCe Evolution,85999,PLN,Benzyna+LPG,5,2026,Manualna,1.2
Porsche,Porsche Taycan,367770,PLN,Elektryczny,57700,2022,Automatyczna,NULL
Renault,Renault Captur 1.2 TCe Techno,98399,PLN,Benzyna+LPG,5,2026,Manualna,1.2
Opel,Opel Mokka,58900,PLN,Benzyna,79000,2019,Manualna,NULL
Nissan,Nissan Qashqai 1.3 DIG-T Tekna,71000,PLN,Benzyna,67673,2018,Manualna,1.3
Volkswagen,Volkswagen Tiguan 1.4 TSI Sport&Style DSG,58500,PLN,Benzyna,124965,2015,Automatyczna,1.4
Skoda,Skoda Citigo 1.0 Ambition EU6,12900,PLN,Benzyna,211000,2015,Manualna,1.0
Volkswagen,Volkswagen Golf 1.5 TSI BMT Highline,51900,PLN,Benzyna,160000,2019,Manualna,1.5
BMW,BMW Seria 5 520d xDrive M Sport Edition,130000,PLN,Diesel,149721,2021,Automatyczna,NULL
Fiat,Fiat Freemont,37900,PLN,Diesel,208766,2014,Automatyczna,NULL
Suzuki,Suzuki Swift 1.2 4x4 Club,21900,PLN,Benzyna,193000,2012,Manualna,1.2
Audi,Audi A4 Avant 40 TDI mHEV S Line S tronic,120000,PLN,Diesel,45000,2024,Automatyczna,NULL
Citroën,Citroën C4 SpaceTourer 1.5 BlueHDi Feel S&S,29900,PLN,Diesel,200029,2018,Manualna,1.5
Seat,Seat Leon 1.8 TSI Start&Stop FR,45999,PLN,Benzyna,159999,2016,Manualna,1.8
Citroën,Citroën C3,14200,PLN,Benzyna,186000,2010,Manualna,NULL
Audi,Audi A3 Limousine 1.4 TFSI cylinder on demand S line Sportpaket,50999,PLN,Benzyna,189000,2014,Manualna,1.4
DS Automobiles,DS Automobiles DS 4 1.2 PureTech Rivoli,109900,PLN,Benzyna,13937,2023,Automatyczna,1.2
Peugeot,Peugeot 208 1.2 PureTech Active,23900,PLN,Benzyna,108503,2017,Manualna,1.2
Ford,Ford Mondeo 1.5 EcoBoost Ambiente,34900,PLN,Benzyna,150573,2015,Manualna,1.5
Citroën,Citroën C5 Aircross 1.5 BlueHDi Feel EAT8,69900,PLN,Diesel,155633,2021,Automatyczna,1.5
DS Automobiles,DS Automobiles DS 4 1.2 PureTech Bastille,99900,PLN,Benzyna,16135,2023,Automatyczna,1.2
Toyota,Toyota Aygo X,33900,PLN,Benzyna,14240,2025,Automatyczna,NULL
Audi,Audi Q2 35 TFSI Advanced S tronic,129900,PLN,Benzyna,9534,2025,Automatyczna,NULL
Volkswagen,Volkswagen Beetle 1.2 TSI Blue Motion Technologie Design,29600,PLN,Benzyna,179000,2012,Manualna,1.2
MINI,MINI Countryman,46000,PLN,Diesel,204000,2015,Automatyczna,NULL
BMW,BMW Seria 7 730i L,45000,PLN,Benzyna,226000,2008,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz Klasa E 200 4Matic 9G-TRONIC Avantgarde,99800,PLN,Benzyna,68000,2017,Automatyczna,NULL
MG,MG HS Hybrid+,128900,PLN,Hybryda,9257,2025,Automatyczna,NULL
MG,MG ZS 1.5 HEV+ Exclusive,103500,PLN,Hybryda,1,2026,Automatyczna,1.5
Hyundai,Hyundai i30,11000,PLN,Benzyna,190081,2010,Manualna,NULL
Subaru,Subaru XV,29900,PLN,Benzyna+LPG,183217,2014,Automatyczna,NULL
Volkswagen,Volkswagen Golf,8500,PLN,Benzyna,230538,2007,Manualna,NULL
Kia,Kia Ceed,68000,PLN,Benzyna,39000,2023,Manualna,NULL
Peugeot,Peugeot 208 1.5 BlueHDi Signature S&S,40900,PLN,Diesel,62700,2021,Manualna,1.5
Dacia,Dacia Sandero Stepway 0.9 TCe Laureate S&S EU6,23900,PLN,Benzyna+LPG,138000,2016,Manualna,0.9
Opel,Opel Meriva,24000,PLN,Benzyna+LPG,184057,2015,Manualna,NULL
Seat,Seat Altea XL 1.9 TDI Stylance,15500,PLN,Diesel,245000,2010,Manualna,1.9
Volkswagen,Volkswagen Passat,64999,PLN,Benzyna,184000,2017,Automatyczna,NULL
Volkswagen,Volkswagen Touareg 3.0 V6 TDI SCR 4Mot Elegance,133900,PLN,Diesel,176000,2020,Automatyczna,3.0
Mercedes-Benz,Mercedes-Benz Klasa E 350 CDI DPF C BlueEFFICIENCY 7G-TRONIC Prime Edition,19500,PLN,Diesel,293000,2009,Automatyczna,NULL
Jeep,Jeep Wrangler 4.0 Sport,120000,PLN,Benzyna,140000,1995,Manualna,4.0
Mazda,Mazda 3 SKYACTIV-D 150 Sports-Line,21990,PLN,Diesel,186000,2015,Manualna,NULL
Opel,Opel Astra 1.4 Turbo Edition,34890,PLN,Benzyna,192725,2018,Manualna,1.4
Peugeot,Peugeot 2008 1.2 Pure Tech Style S&S,18900,PLN,Benzyna,117483,2015,Manualna,1.2
Peugeot,Peugeot 308 2.0 BlueHDi Allure S&S,31000,PLN,Diesel,211500,2016,Manualna,2.0
Volkswagen,Volkswagen Passat Variant 2.0 TDI SCR DSG R-Line,66700,PLN,Diesel,125000,2022,Automatyczna,2.0
Toyota,Toyota Corolla 2.0 Business Edition,71700,PLN,Hybryda,69000,2023,Automatyczna,2.0
Peugeot,Peugeot 2008,99900,PLN,Benzyna,14715,2025,Automatyczna,NULL
Toyota,Toyota RAV4,27900,PLN,Diesel,117000,2006,Manualna,NULL
Toyota,Toyota Hilux 2.8 D-4D mHEV Double Cab Invincible 4x4,259000,PLN,Diesel,5,2026,Automatyczna,2.8
Toyota,Toyota Corolla 1.6 Prestige EU6,55900,PLN,Benzyna,153278,2017,Manualna,1.6
Seat,Seat Leon 1.6 Style,10500,PLN,Benzyna,171000,2006,Manualna,1.6
BMW,BMW X6,287900,PLN,Diesel,30000,2023,Automatyczna,NULL
BMW,BMW X5 xDrive45e sport,269900,PLN,Hybryda,79500,2022,Automatyczna,NULL
Volvo,Volvo XC 60 B4 B Essential,138890,PLN,Benzyna,81601,2023,Automatyczna,NULL
Audi,Audi A6 Avant,177400,PLN,Diesel,13922,2025,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz GLS,511000,PLN,Diesel,1,2026,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz ML 350 4-Matic,34000,PLN,Benzyna,158330,2007,Automatyczna,NULL
Volvo,Volvo XC 90 T6 AWD Geartronic Momentum Pro,96000,PLN,Benzyna,61000,2022,Automatyczna,NULL
Mitsubishi,Mitsubishi ASX 1.8 DID Intense 4WD AS&G,36900,PLN,Diesel,121553,2013,Manualna,1.8
Peugeot,Peugeot 308,38990,PLN,Benzyna,111000,2020,Manualna,NULL
Mazda,Mazda CX-5 2.2 D Skypassion,33500,PLN,Diesel,215000,2014,Manualna,2.2
Toyota,Toyota Hilux,46900,PLN,Diesel,205000,2008,Manualna,NULL
Volkswagen,Volkswagen Touareg,33900,PLN,Hybryda,214000,2011,Automatyczna,NULL
Toyota,Toyota Yaris,9900,PLN,Diesel,214000,2008,Manualna,NULL
Audi,Audi Q3,37900,PLN,Benzyna,114000,2013,Manualna,NULL
Mercedes-Benz,Mercedes-Benz GLK,17900,PLN,Diesel,205000,2011,Automatyczna,NULL
Ford,Ford Galaxy,23900,PLN,Diesel,104000,2018,Manualna,NULL
Porsche,Porsche Macan Standard,155000,PLN,Benzyna,58300,2018,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz Sprinter 906.253,50000,PLN,Diesel,340000,2015,Manualna,6.2
Renault,Renault Captur 1.0 TCe Intens,63900,PLN,Benzyna,45600,2021,Manualna,1.0
Kia,Kia Sorento 2.5 CRDi VGT DPF LX,19900,PLN,Diesel,200235,2009,Manualna,2.5
Ford,Ford Fiesta,17800,PLN,Benzyna,110400,2013,Manualna,NULL
Opel,Opel Vivaro,34900,PLN,Diesel,394,2010,Manualna,NULL
Mercedes-Benz,Mercedes-Benz GLE 400 d 4-Matic Premium Plus,269000,PLN,Diesel,165000,2020,Automatyczna,NULL
Audi,Audi Q5,104900,PLN,Benzyna,105000,2020,Automatyczna,NULL
Land Rover,Land Rover Range Rover Evoque 2.0Si4 SE,69900,PLN,Benzyna,130000,2016,Automatyczna,2.0
Dacia,Dacia Duster,39900,PLN,Benzyna+LPG,122334,2020,Manualna,NULL
Citroën,Citroën C5 Aircross 1.2 mHEV Max eDCT6,109500,PLN,Benzyna,18500,2025,Automatyczna,1.2
Citroën,Citroën C5 Aircross 1.2 PureTech Feel Pack EAT8,65900,PLN,Benzyna,52110,2022,Automatyczna,1.2
Peugeot,Peugeot 208,39900,PLN,Diesel,93639,2022,Manualna,NULL
Hyundai,Hyundai Tucson,106900,PLN,Hybryda,59550,2024,Automatyczna,NULL
Peugeot,Peugeot 3008 1.2 PureTech Active Pack S&S EAT8,85900,PLN,Benzyna,43844,2023,Automatyczna,1.2
Opel,Opel Astra 1.5 CDTI Ultimate S&S,84900,PLN,Diesel,97399,2023,Automatyczna,1.5
Citroën,Citroën C-Elysée 1.2 PureTech GPF More Life,22900,PLN,Benzyna,141187,2018,Manualna,1.2
Peugeot,Peugeot 3008 1.2 PureTech Active Pack S&S EAT8,85900,PLN,Benzyna,43845,2023,Automatyczna,1.2
Citroën,Citroën SpaceTourer 2.0 BlueHDi XL Plus EAT8,144900,PLN,Diesel,14100,2025,Automatyczna,2.0
Hyundai,Hyundai Tucson,99900,PLN,Hybryda,81402,2024,Automatyczna,NULL
Peugeot,Peugeot 5008,57900,PLN,Diesel,182983,2019,Automatyczna,NULL
Renault,Renault Clio 1.5 dCi Authentique,17900,PLN,Diesel,246505,2017,Manualna,1.5
Peugeot,Peugeot 5008 1.5 BlueHDi Allure S&S,79000,PLN,Diesel,176037,2021,Manualna,1.5
Hyundai,Hyundai Tucson 1.6 T-GDi 48V Smart 2WD DCT,109900,PLN,Benzyna,41556,2024,Automatyczna,1.6
Fiat,Fiat Tipo,36900,PLN,Benzyna+LPG,89637,2019,Manualna,NULL
Citroën,Citroën C5 Aircross 1.2 PureTech Feel,59900,PLN,Benzyna,62563,2019,Manualna,1.2
Peugeot,Peugeot 3008 1.5 BlueHDi Allure S&S,49900,PLN,Diesel,157999,2018,Manualna,1.5
Opel,Opel Astra,85900,PLN,Diesel,79104,2023,Automatyczna,NULL
Citroën,Citroën DS5 1.6 THP SportChic,46900,PLN,Benzyna,78190,2014,Manualna,1.6
Citroën,Citroën C3 Aircross 1.2 PureTech GPF Live S&S,44900,PLN,Benzyna,75895,2020,Manualna,1.2
Peugeot,Peugeot 5008 1.6 PureTech Allure S&S EAT8,79500,PLN,Benzyna,134298,2018,Automatyczna,1.6
Citroën,Citroën C4 SpaceTourer 1.5 BlueHDi More Life S&S,34900,PLN,Diesel,185638,2019,Manualna,1.5
Peugeot,Peugeot 3008 1.2 PureTech GPF Allure S&S,55900,PLN,Benzyna,107203,2018,Manualna,1.2
Citroën,Citroën C5 Aircross 1.5 BlueHDi Shine EAT8,79900,PLN,Diesel,155120,2023,Automatyczna,1.5
Peugeot,Peugeot Traveller,144900,PLN,Diesel,102537,2024,Automatyczna,NULL
Peugeot,Peugeot 2008,59900,PLN,Benzyna,158698,2022,Manualna,NULL
Peugeot,Peugeot 3008 1.5 BlueHDi Active S&S EAT8,55900,PLN,Diesel,224430,2019,Automatyczna,1.5
Toyota,Toyota Corolla Cross 2.0 Hybrid Executive,179850,PLN,Hybryda,8342,2024,Automatyczna,2.0
Hyundai,Hyundai i30 1.0 T-GDI Smart,49900,PLN,Benzyna,130044,2022,Manualna,1.0
Toyota,Toyota Yaris,76800,PLN,Hybryda,56378,2024,Automatyczna,NULL
Citroën,Citroën C4 Picasso 1.2 PureTech Live S&S,29900,PLN,Benzyna,148496,2017,Manualna,1.2
Honda,Honda Civic,2650,PLN,Benzyna,203300,2003,Manualna,NULL
Skoda,Skoda Octavia 1.6 TDI DPF Classic,7000,PLN,Diesel,395000,2011,Manualna,1.6
Audi,Audi A4 Allroad,105500,PLN,Diesel,184000,2021,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz CLA,196000,PLN,Hybryda,1,2026,Automatyczna,NULL
BMW,BMW Seria 4 420i GPF M Sport,122000,PLN,Benzyna,60914,2021,Automatyczna,NULL
Volvo,Volvo XC 40,85900,PLN,Diesel,149800,2018,Automatyczna,NULL
Volvo,Volvo XC 60 B4 D AWD Geartronic Momentum Pro,119999,PLN,Diesel,132226,2022,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz Klasa E 220 d 9G-TRONIC,81500,PLN,Diesel,130567,2016,Automatyczna,NULL
Mitsubishi,Mitsubishi Outlander 2.0 4WD,41999,PLN,Hybryda Plug-in,241037,2015,Automatyczna,2.0
Mercedes-Benz,Mercedes-Benz Klasa C,189000,PLN,Benzyna,1,2025,Automatyczna,NULL
Peugeot,Peugeot 508 2.0 BlueHDi GT Line S&S EAT8,98000,PLN,Diesel,28041,2020,Automatyczna,2.0
Peugeot,Peugeot 207 75 Urban Style,8700,PLN,Benzyna,199993,2006,Manualna,NULL
Volkswagen,Volkswagen Caravelle 2.0 TDI L2 Comfortline DSG,149999,PLN,Diesel,108773,2022,Automatyczna,2.0
Ford,Ford Kuga 1.5 EcoBoost 2x4 SYNC,49900,PLN,Benzyna,100000,2018,Manualna,1.5
Volvo,Volvo XC 60 D3 Ocean Race,37000,PLN,Diesel,300000,2014,Manualna,NULL
Volkswagen,Volkswagen Polo 1.2 Trendline CityLine,10900,PLN,Benzyna,80398,2008,Manualna,1.2
Dacia,Dacia Sandero 1.0 SCe Access,22000,PLN,Benzyna,150263,2018,Manualna,1.0
Audi,Audi A5 Sportback 35 TDI S tronic S line,101111,PLN,Diesel,136269,2021,Automatyczna,NULL
Honda,Honda Civic,3000,PLN,Benzyna,245000,2003,Manualna,NULL
Ford,Ford C-MAX,9000,PLN,Benzyna+LPG,317500,2009,Manualna,NULL
Peugeot,Peugeot 508,33900,PLN,Diesel,267468,2014,Manualna,NULL
BMW,BMW Seria 3 M340i xDrive,224277,PLN,Benzyna,82500,2022,Automatyczna,NULL
Ford,Ford Fiesta,32444,PLN,Benzyna,106676,2020,Automatyczna,NULL
Subaru,Subaru Forester 2.5 XT 000,64000,PLN,Benzyna,248789,2007,Manualna,2.5
Toyota,Toyota Prius 1.8 Hybrid Prestige,54444,PLN,Hybryda,150636,2016,Automatyczna,1.8
Honda,Honda Civic 1.0 T Executive Sport Line,55777,PLN,Benzyna,48181,2019,Manualna,1.0
Hyundai,Hyundai i20,32444,PLN,Benzyna,141450,2018,Manualna,NULL
Volkswagen,Volkswagen Passat 1.6 TDI DPF BlueMot Comfortline,25000,PLN,Diesel,173600,2011,Manualna,1.6
Volkswagen,Volkswagen Tiguan 2.0 TSI 4Mot Sport&Style,32900,PLN,Benzyna,220373,2013,Manualna,2.0
Ford,Ford Kuga 2.0 TDCi AWD ST-Line Black,57777,PLN,Diesel,186219,2018,Automatyczna,2.0
Honda,Honda CRX,15000,PLN,Benzyna,175000,1997,Manualna,NULL
Toyota,Toyota Auris 1.6 Active,52000,PLN,Benzyna,84000,2018,Manualna,1.6
Hyundai,Hyundai Kona 1.6 GDI Hybrid Platinum DCT,94700,PLN,Hybryda,22100,2023,Automatyczna,1.6
Ford,Ford EcoSport,29900,PLN,Benzyna,139588,2017,Manualna,NULL
Volkswagen,Volkswagen Sharan 2.0 TDI DSG BlueMotion Technology Highline,26500,PLN,Diesel,349500,2013,Automatyczna,2.0
Opel,Opel Astra 1.3 CDTI,3500,PLN,Diesel,268584,2007,Manualna,1.3
Nissan,Nissan Micra,42500,PLN,Benzyna,106000,2021,Automatyczna,NULL
Honda,Honda Civic,26999,PLN,Benzyna,180000,2010,Manualna,NULL
BMW,BMW X1 sDrive18d,24900,PLN,Diesel,250000,2010,Manualna,NULL
Volkswagen,Volkswagen Tiguan,20777,PLN,Diesel,220957,2007,Manualna,NULL
Dacia,Dacia Sandero Stepway 1.5 dCi Laureate S&S EU6,29500,PLN,Diesel,110071,2018,Manualna,1.5
Peugeot,Peugeot 208 1.5 BlueHDi Active S&S,35555,PLN,Diesel,126000,2020,Manualna,1.5
Audi,Audi A3 3-drzwiowe,24999,PLN,Diesel,252000,2011,Manualna,NULL
Land Rover,Land Rover Discovery 3.0 Si6 HSE Luxury,99900,PLN,Benzyna,116000,2017,Automatyczna,3.0
Skoda,Skoda Scala 1.0 TSI Active,45500,PLN,Benzyna,178000,2023,Manualna,1.0
Toyota,Toyota RAV4 2.5 4x4 Comfort,114800,PLN,Hybryda,58590,2019,Automatyczna,2.5
Alfa Romeo,Alfa Romeo Stelvio 2.0 Turbo Veloce Q4,115000,PLN,Benzyna,125500,2020,Automatyczna,2.0
Toyota,Toyota Celica S,16000,PLN,Benzyna,253000,2000,Manualna,NULL
Fiat,Fiat Doblo Maxi Dynamic,34000,PLN,Diesel,229000,2016,Manualna,NULL
Alfa Romeo,Alfa Romeo Giulietta 1.4 TB MultiAir Distinctive,22000,PLN,Benzyna,167000,2010,Manualna,1.4
BMW,BMW Seria 5 520d,14900,PLN,Diesel,350100,2009,Manualna,NULL
BMW,BMW X3 xDrive20d M Sport Edition,77700,PLN,Diesel,131000,2018,Automatyczna,NULL
Peugeot,Peugeot 207 1.4 HDi Trendy,6900,PLN,Diesel,214000,2010,Manualna,1.4
Volkswagen,Volkswagen Tiguan,64700,PLN,Benzyna,190000,2017,Automatyczna,NULL
Kia,Kia Sorento 2.2 CRDI L,48900,PLN,Diesel,194000,2013,Automatyczna,2.2
Toyota,Toyota Proace Verso,102850,PLN,Diesel,111483,2020,Manualna,NULL
Volvo,Volvo XC 60,83000,PLN,Diesel,185000,2018,Manualna,NULL
Opel,Opel Astra 1.4,15000,PLN,Benzyna,207348,2011,Manualna,1.4
Audi,Audi Q3 45 TFSI Quattro S Line S tronic,111900,PLN,Benzyna,83000,2022,Automatyczna,NULL
Volkswagen,Volkswagen Golf 1.5 TSI BMT Trendline,55000,PLN,Benzyna,104699,2020,Manualna,1.5
BMW,BMW Seria 5,69500,PLN,Diesel,266400,2017,Automatyczna,NULL
Nissan,Nissan Qashqai 1.6 Acenta,27500,PLN,Benzyna,255000,2011,Manualna,1.6
Fiat,Fiat Tipo 1.4 16v Mirror,35600,PLN,Benzyna,100240,2018,Manualna,1.4
Chevrolet,Chevrolet Cruze 1.7 D LT+ Premium,4000,PLN,Diesel,186080,2012,Manualna,1.7
Opel,Opel Astra 1.9 CDTI Sport,4700,PLN,Diesel,322525,2005,Manualna,1.9
Mercedes-Benz,Mercedes-Benz Klasa E,155000,PLN,Benzyna,51000,2023,Automatyczna,NULL
Renault,Renault Clio 1.2 16V Campus,4500,PLN,Benzyna,283495,2007,Manualna,1.2
Audi,Audi A4 Limousine,61000,PLN,Benzyna,120500,2016,Automatyczna,NULL
Ford,Ford Escort 1.3 CL,4999,PLN,Benzyna,114000,1996,Manualna,1.3
Nissan,Nissan Qashqai 1.2 DIG-T Acenta EU6,42500,PLN,Benzyna,72125,2017,Manualna,1.2
Audi,Audi A3 Sportback 2.0 TDI DPF quattro Ambiente,24000,PLN,Diesel,296000,2008,Manualna,2.0
Fiat,Fiat Sedici 1.6 16V 4x4 Dynamic,15500,PLN,Benzyna,189000,2006,Manualna,1.6
Opel,Opel Astra 1.0 Turbo Start/Stop Selection,28800,PLN,Benzyna,109000,2016,Manualna,1.0
Citroën,Citroën C4 Grand Picasso 1.6 VTi Selection,14800,PLN,Benzyna+LPG,298472,2011,Manualna,1.6
BMW,BMW X3 M M40i Sport Edition,144000,PLN,Benzyna,136000,2018,Automatyczna,NULL
Fiat,Fiat Seicento,4500,PLN,Benzyna,101990,2010,Manualna,NULL
Honda,Honda CR-V,109000,PLN,Benzyna,120000,2019,Automatyczna,NULL
