Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Chevrolet,Chevrolet Aveo 1.2 16V LS Design+,6500,PLN,Benzyna,160407,2008,Manualna,1.2
BMW,BMW Seria 1,14900,PLN,Benzyna,285000,2005,Manualna,NULL
Mercedes-Benz,Mercedes-Benz Klasa B 200 d 7G-DCT Edition,27700,PLN,Diesel,56000,2018,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz GLC,169000,PLN,Hybryda Plug-in,101582,2021,Automatyczna,NULL
Ford,Ford S-Max 2.0 TDCi DPF Titanium,23900,PLN,Diesel,292600,2012,Manualna,2.0
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,43500,PLN,Benzyna,147000,2013,Manualna,2.0
Skoda,Skoda Superb,104900,PLN,Diesel,118100,2022,Automatyczna,NULL
Toyota,Toyota Hilux 3.0 D-4D Invincible,69000,PLN,Diesel,222000,2011,Automatyczna,3.0
Seat,Seat Ibiza,77900,PLN,Benzyna,14500,2025,Manualna,NULL
Renault,Renault Laguna,28900,PLN,Benzyna,167150,2014,Manualna,NULL
Volkswagen,Volkswagen Caravelle,157900,PLN,Diesel,62500,2022,Manualna,NULL
Seat,Seat Alhambra,49900,PLN,Diesel,222900,2014,Automatyczna,NULL
Kia,Kia Sportage,106500,PLN,Benzyna,75300,2023,Automatyczna,NULL
Fiat,Fiat Freemont,28900,PLN,Diesel,226950,2013,Automatyczna,NULL
Toyota,Toyota Yaris,74900,PLN,Hybryda,55500,2023,Automatyczna,NULL
Skoda,Skoda Fabia,68900,PLN,Benzyna,70485,2023,Manualna,NULL
Skoda,Skoda Kamiq,81900,PLN,Benzyna,42500,2022,Automatyczna,NULL
Ford,Ford Kuga,82900,PLN,Benzyna,76300,2022,Manualna,NULL
Ford,Ford Kuga,51900,PLN,Diesel,155500,2017,Automatyczna,NULL
Seat,Seat Tarraco,89500,PLN,Benzyna,77860,2022,Manualna,NULL
Kia,Kia Ceed,96500,PLN,Benzyna,96500,2022,Manualna,NULL
Seat,Seat Ibiza,53900,PLN,Benzyna,83500,2022,Manualna,NULL
Alfa Romeo,Alfa Romeo Giulietta,10500,PLN,Diesel,224722,2012,Manualna,NULL
Mercedes-Benz,Mercedes-Benz GLK 220 CDI DPF 4Matic BlueEFFICIENCY 7G-TRONIC,16600,PLN,Diesel,99000,2009,Automatyczna,NULL
BMW,BMW Seria 3 318i Advantage,54900,PLN,Benzyna,131000,2018,Automatyczna,NULL
Citroën,Citroën C5,7500,PLN,Diesel,412330,2006,Manualna,NULL
Audi,Audi A4 Avant 40 TDI S tronic design,73700,PLN,Diesel,99500,2017,Automatyczna,NULL
Kia,Kia Sportage,71900,PLN,Benzyna,47000,2021,Automatyczna,NULL
Skoda,Skoda Octavia,17000,PLN,Diesel,345000,2011,Manualna,NULL
Ford,Ford Fiesta 1.6 Ti-VCT Ghia,12900,PLN,Benzyna,154000,2010,Manualna,1.6
Mercedes-Benz,Mercedes-Benz Klasa C,129900,PLN,Benzyna,81200,2021,Automatyczna,NULL
Toyota,Toyota Auris 1.6 VVT-i Executive,17400,PLN,Benzyna,180000,2008,Manualna,1.6
Audi,Audi A4 Avant,108900,PLN,Benzyna,89300,2023,Automatyczna,NULL
Ford,Ford Mondeo 1.8 TDCi Ambiente,2900,PLN,Diesel,220000,2010,Manualna,1.8
Renault,Renault Captur ENERGY TCe 90 Start&Stop Experience,21800,PLN,Benzyna,105000,2018,Manualna,NULL
Ford,Ford Puma 1.0 EcoBoost Hybrid ST-LINE,65900,PLN,Benzyna,67000,2022,Manualna,1.0
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,46500,PLN,Benzyna,154020,2014,Manualna,2.0
Mercedes-Benz,Mercedes-Benz GLA 250 AMG Line,112500,PLN,Benzyna,92508,2022,Automatyczna,NULL
Ford,Ford Kuga 2.0 TDCi 2x4 Trend,19400,PLN,Diesel,228000,2014,Manualna,2.0
Mercedes-Benz,Mercedes-Benz CL 63 AMG 7G-TRONIC,79900,PLN,Benzyna,164000,2008,Automatyczna,NULL
Volvo,Volvo XC 90 T8 AWD Plug-In Hybrid Ultimate Bright 7os,234900,PLN,Hybryda Plug-in,98000,2022,Automatyczna,NULL
Audi,Audi A3 Sportback,29999,PLN,Diesel,264000,2011,Automatyczna,NULL
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Exclusiv-Paket,60800,PLN,Benzyna,147091,2015,Manualna,2.0
Audi,Audi A5 Sportback 2.0 TDI DPF quattro,44500,PLN,Diesel,197090,2010,Manualna,2.0
Dacia,Dacia Duster TCe 130 2WD GPF Prestige,49900,PLN,Benzyna,118000,2019,Manualna,NULL
Dacia,Dacia Duster TCe 125 2WD Prestige,29900,PLN,Benzyna,69000,2016,Manualna,NULL
Volvo,Volvo 340,8500,PLN,Benzyna,146634,1983,Manualna,NULL
Audi,Audi A1 3-drzwiowe 1.6 TDI admired,18600,PLN,Diesel,197000,2011,Manualna,1.6
Mercedes-Benz,Mercedes-Benz Klasa E AMG 53 4Matic+ AMG Speedshift TCT-9G,109000,PLN,Benzyna,165000,2019,Automatyczna,NULL
Ford,Ford Fiesta 1.25 Champions Edition,19900,PLN,Benzyna,166000,2014,Manualna,1.2
Ford,Ford Kuga 1.5 EcoBoost FWD Edition ASS GPF,65000,PLN,Benzyna+LPG,102000,2018,Manualna,1.5
Volvo,Volvo XC 60 B4 D AWD Ultimate Dark,199900,PLN,Diesel,66000,2023,Automatyczna,NULL
