Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów
Kia,Kia Sportage 1.6 GDI Business Line 2WD,59900,PLN,Benzyna,100000,2017,Manualna
Suzuki,Suzuki Swift 1.6 Sport,33000,PLN,Benzyna,154634,2012,Manualna
Dacia,Dacia Sandero SCe 75 Comfort,16900,PLN,Benzyna,81000,2017,Manualna
Fiat,Fiat Panda 1.2 4x4 Climbing,9300,PLN,Benzyna,126000,2006,Manualna
Hyundai,Hyundai ix20 1.4 UEFA EURO 2012 Edition,26800,PLN,Benzyna,88200,2012,Manualna
Peugeot,Peugeot 207 1.6 HDi 16V Speed,5900,PLN,Diesel,267500,2006,Manualna
Hyundai,Hyundai ix35 2.0 2WD Automatik Style,39900,PLN,Benzyna,114000,2012,Automatyczna
Nissan,Nissan Qashqai,29900,PLN,Benzyna+LPG,180000,2012,Manualna
Mercedes-Benz,Mercedes-Benz Klasa E 320 CDI Elegance,43500,PLN,Diesel,168830,2005,Automatyczna
Suzuki,Suzuki Splash 1.2 active+,8800,PLN,Benzyna,158000,2009,Manualna
Renault,Renault Twingo ENERGY TCe 90 LIMITED,26900,PLN,Benzyna,91800,2017,Manualna
Toyota,Toyota RAV4 Hybrid Prestige 4x4,78000,PLN,Hybryda,100775,2016,Automatyczna
Audi,Audi S3,79900,PLN,Benzyna,133000,2016,Automatyczna
Renault,Renault Clio,65000,PLN,Benzyna+LPG,24993,2023,Manualna
Fiat,Fiat Tipo 1.4 T-Jet Lounge,36900,PLN,Benzyna,138000,2019,Manualna
Mazda,Mazda 3,26300,PLN,Benzyna,135433,2014,Manualna
Ford,Ford Fusion,40900,PLN,Benzyna,82500,2017,Automatyczna
Volkswagen,Volkswagen Polo,5500,PLN,Diesel,155000,2007,Manualna
Volkswagen,Volkswagen Polo 1.2 Basis,3300,PLN,Benzyna,207000,2004,Manualna
Audi,Audi A3 3-drzwiowe 1.6 Ambition,14900,PLN,Benzyna,173492,2007,Manualna
Volkswagen,Volkswagen Polo 1.0 (Blue Motion Technology) Trendline,22500,PLN,Benzyna,189000,2015,Manualna
Toyota,Toyota Corolla 1.6 Prestige MS EU6,59900,PLN,Benzyna,46100,2016,Automatyczna
Mercedes-Benz,Mercedes-Benz Klasa C,34900,PLN,Diesel,206000,2011,Automatyczna
Citroën,Citroën C1 1.0i Vitamin,7900,PLN,Benzyna,135934,2011,Manualna
Opel,Opel Astra 1.5 CDTI Business Elegance S&S,29900,PLN,Diesel,193222,2021,Automatyczna
Chrysler,Chrysler Pacifica,99000,PLN,Benzyna,190000,2021,Automatyczna
Jaguar,Jaguar E-Pace 1.5 P160 mHEV S,89900,PLN,Benzyna,96825,2021,Automatyczna
Toyota,Toyota RAV4 2.5 Hybrid Selection 4x2,129050,PLN,Hybryda,96442,2020,Automatyczna
Lexus,Lexus UX 300e 54.3 kWh Prestige 2WD,109000,PLN,Elektryczny,88813,2021,Automatyczna
Porsche,Porsche Cayman,269000,PLN,Benzyna,40000,2018,Manualna
Mercedes-Benz,Mercedes-Benz CLK 220 CDI Avantgarde,23000,PLN,Diesel,231557,2005,Manualna
Toyota,Toyota Yaris 1.0 VVT-i,11900,PLN,Benzyna,196000,2008,Manualna
Ford,Ford Kuga,28000,PLN,Diesel,244624,2009,Manualna
Skoda,Skoda Fabia,77998,PLN,Benzyna,29517,2025,Manualna
Mercedes-Benz,Mercedes-Benz Klasa B,17000,PLN,Benzyna,169395,2009,Manualna
Nissan,Nissan X-Trail,44000,PLN,Benzyna,176782,2015,Manualna
Toyota,Toyota Camry,79000,PLN,Hybryda,152055,2020,Automatyczna
Audi,Audi A3 Sportback 1.6 TDI ultra Attraction,31500,PLN,Diesel,238730,2014,Manualna
Peugeot,Peugeot 3008 HDi FAP 150 Family,14900,PLN,Diesel,228285,2011,Manualna
Suzuki,Suzuki Swift 1.2 Premium,15000,PLN,Benzyna,267000,2011,Manualna
Volkswagen,Volkswagen Tiguan 1.4 TSI 4Mot Trend&Fun,25900,PLN,Benzyna,77000,2008,Manualna
Seat,Seat Ibiza,51900,PLN,Benzyna,96800,2022,Manualna
BMW,BMW Seria 3 318i Edition Lifestyle,23900,PLN,Benzyna,181000,2010,Manualna
Opel,Opel Insignia,61900,PLN,Benzyna,181200,2018,Automatyczna
Opel,Opel Crossland,58900,PLN,Benzyna,18800,2024,Manualna
Kia,Kia Sportage,96500,PLN,Benzyna,69000,2023,Manualna
BMW,BMW Seria 5,32900,PLN,Diesel,370000,2003,Automatyczna
Toyota,Toyota Sienna,150000,PLN,Benzyna,88902,2021,Automatyczna
Ford,Ford Focus,55300,PLN,Benzyna,112200,2023,Manualna
Skoda,Skoda Octavia,149900,PLN,Benzyna,39200,2023,Automatyczna
BMW,BMW X5,187900,PLN,Diesel,100100,2022,Automatyczna
Mercedes-Benz,Mercedes-Benz GLC 400 e PHEV 4-Matic AMG Line,245000,PLN,Hybryda Plug-in,79900,2023,Automatyczna
Hyundai,Hyundai i20 1.2 YES,29000,PLN,Benzyna,125000,2017,Manualna
Tesla,Tesla Model 3 RWD,140900,PLN,Elektryczny,21000,2023,Automatyczna
Renault,Renault Kadjar 1.2 Energy TCe Limited,38000,PLN,Benzyna,99124,2017,Manualna
Chrysler,Chrysler Town & Country,11900,PLN,Benzyna+LPG,309841,2010,Automatyczna
Kia,Kia Ceed 1.6 GDI Business Line,31999,PLN,Benzyna,188600,2013,Manualna
Renault,Renault Trafic L2H1,25555,PLN,Diesel,204203,2011,Manualna
Cupra,Cupra Formentor,126000,PLN,Benzyna,55532,2023,Automatyczna
Toyota,Toyota Yaris 1.5 Comfort,54900,PLN,Benzyna,102720,2021,Manualna
Hyundai,Hyundai i30,109900,PLN,Benzyna,2685,2026,Automatyczna
Audi,Audi A8 4.2 Quattro,14700,PLN,Benzyna+LPG,420000,2002,Automatyczna
Skoda,Skoda Octavia,56000,PLN,Benzyna,179754,2020,Manualna
Ford,Ford Fiesta 1.4 Champions Edition,21900,PLN,Benzyna,161763,2012,Manualna
Seat,Seat Ibiza,21900,PLN,Benzyna+LPG,164714,2017,Manualna
Volkswagen,Volkswagen Golf Variant,40000,PLN,Benzyna,116369,2019,Manualna
Hyundai,Hyundai i20,63000,PLN,Benzyna,44516,2022,Manualna
Opel,Opel Astra 1.7 CDTI DPF Color Edition,12999,PLN,Diesel,240000,2010,Manualna
Volkswagen,Volkswagen Polo 1.4 16V Basis,6800,PLN,Benzyna,163000,2004,Manualna
BMW,BMW Seria 1 116i,10500,PLN,Benzyna,209000,2007,Manualna
BMW,BMW M4 DKG,175000,PLN,Benzyna,102000,2017,Automatyczna
Ford,Ford Mondeo 2.0 TDCi Titanium PowerShift,48800,PLN,Diesel,21000,2015,Automatyczna
Citroën,Citroën C3 Pure Tech (VTi) 68 Selection,13999,PLN,Benzyna,144000,2016,Manualna
Audi,Audi Q3 2.0 TDI,41900,PLN,Diesel,209000,2013,Manualna
Opel,Opel Astra 1.4 Turbo Edition,17900,PLN,Benzyna,222000,2011,Manualna
BMW,BMW X5,69900,PLN,Diesel,359000,2014,Automatyczna
Renault,Renault Megane 1.6 16V Color Edition,15700,PLN,Benzyna,79000,2009,Manualna
Cupra,Cupra Formentor 2.0 TSI 4Drive VZ DSG,139990,PLN,Benzyna,28000,2024,Automatyczna
Renault,Renault Clio 1.2 16V 75 LIMITED,24900,PLN,Benzyna,175287,2015,Manualna
Opel,Opel Grandland X 2.0 CDTI Ultimate S&S,56900,PLN,Diesel,187000,2018,Automatyczna
Kia,Kia Rio 1.2 L,33900,PLN,Benzyna,87000,2018,Manualna
Skoda,Skoda Fabia,13000,PLN,Benzyna+LPG,182663,2017,Manualna
Volvo,Volvo S60 B5 B AWD R-Design,84700,PLN,Benzyna,232968,2020,Automatyczna
Skoda,Skoda Octavia 1.6 TDI Active,21500,PLN,Diesel,239282,2015,Manualna
Opel,Opel Astra,14900,PLN,Diesel,180800,2012,Manualna
Opel,Opel Astra,27900,PLN,Benzyna,182625,2016,Manualna
Jeep,Jeep Compass 1.4 MultiAir Limited,56666,PLN,Benzyna,179000,2018,Manualna
Audi,Audi A4 Avant,12900,PLN,Benzyna,279000,2006,Manualna
Skoda,Skoda Octavia 1.4 TSI Ambiente,16500,PLN,Benzyna,188000,2010,Manualna
Seat,Seat Ibiza,6999,PLN,Benzyna,124000,2014,Manualna
Nissan,Nissan Note 1.6 Acenta,5000,PLN,Benzyna,168651,2008,Manualna
Toyota,Toyota Yaris 1.0 Luna A/C,11700,PLN,Benzyna+LPG,135000,2006,Manualna
Renault,Renault Scenic 1.5 dCi Tech Run,10000,PLN,Diesel,186451,2011,Manualna
Hyundai,Hyundai Tucson 1.6 T-GDi HEV Executive 2WD,118900,PLN,Hybryda,33000,2022,Automatyczna
BMW,BMW Seria 5,45000,PLN,Diesel,339300,2011,Automatyczna
Seat,Seat Altea 1.2 TSI Reference,14000,PLN,Benzyna,211218,2012,Manualna
Alfa Romeo,Alfa Romeo Stelvio 2.2 16V AT8 Executive,67000,PLN,Diesel,63444,2017,Automatyczna
Opel,Opel Meriva 1.3 CDTI EcoFLEX 150 Jahre,9800,PLN,Diesel,259000,2011,Manualna
Seat,Seat Ibiza,1350,PLN,Benzyna,252647,2003,Manualna
Toyota,Toyota Highlander 2.5 Hybrid Executive Style,195000,PLN,Hybryda,54533,2022,Automatyczna
Opel,Opel Zafira 1.9 CDTI,7500,PLN,Diesel,292000,2006,Manualna
Volkswagen,Volkswagen T-Roc 1.5 TSI ACT Premium,74900,PLN,Benzyna,71855,2019,Manualna
Peugeot,Peugeot 308 BlueHDi 130 EAT8 Black Edition,39999,PLN,Diesel,161374,2020,Automatyczna
Audi,Audi A1 Sportback 1.4 TFSI S tronic Attraction,39500,PLN,Benzyna,112000,2013,Automatyczna
Renault,Renault Captur (ENERGY) dCi 90 LIMITED,31900,PLN,Diesel,112000,2015,Manualna
Citroën,Citroën C4 1.4 16V SX,7500,PLN,Benzyna,171600,2005,Manualna
Kia,Kia Ceed 1.6 CRDi M,37999,PLN,Diesel,174000,2017,Manualna
BMW,BMW Seria 4 420d xDrive M Sport sport,152900,PLN,Diesel,99000,2022,Automatyczna
Audi,Audi S5 Limousine TFSI S tronic,372900,PLN,Benzyna,1,2026,Automatyczna
Renault,Renault Clio (Energy) TCe 90 Bose Edition,38999,PLN,Benzyna,72000,2019,Manualna
Volvo,Volvo V60 B4 B Core,123899,PLN,Benzyna,19000,2023,Automatyczna
Skoda,Skoda Kodiaq 2.0 TSI 4x4 Sportline DSG,199518,PLN,Benzyna,7,2026,Automatyczna
Land Rover,Land Rover Range Rover Sport,529000,PLN,Benzyna,10,2026,Automatyczna
Volkswagen,Volkswagen Polo 1.6 TDI SCR IQ.DRIVE,34990,PLN,Diesel,151748,2018,Manualna
Renault,Renault Kadjar TCe 140 GPF LIMITED,54900,PLN,Benzyna,85961,2018,Manualna
Kia,Kia Ceed 1.6 CRDi SCR M DCT,43000,PLN,Diesel,189600,2020,Automatyczna
Citroën,Citroën C3 1.2 PureTech Shine EAT6,51900,PLN,Benzyna,50160,2024,Automatyczna
Peugeot,Peugeot 308 1.5 BlueHDi Allure S&S EAT8,94900,PLN,Diesel,31200,2025,Automatyczna
Peugeot,Peugeot 508 1.5 BlueHDi Allure S&S EAT8,119900,PLN,Diesel,44600,2024,Automatyczna
Kia,Kia Sportage 1.6 T-GDI MHEV Anniversary 2WD DCT,123900,PLN,Benzyna,58150,2023,Automatyczna
Peugeot,Peugeot 308 Hybrid 136e-DSC6 GT,98900,PLN,Benzyna,20350,2025,Automatyczna
Jeep,Jeep Compass 1.4 TMair Limited 4WD S&S,72900,PLN,Benzyna,86650,2018,Automatyczna
Audi,Audi Q5 40 TDI mHEV Quattro S Line S tronic,114900,PLN,Diesel,201027,2021,Automatyczna
Dacia,Dacia Sandero Stepway 1.0 TCe Comfort,49900,PLN,Benzyna,82752,2022,Manualna
Citroën,Citroën C3 1.2 PureTech Elle EAT6,52900,PLN,Benzyna,35343,2024,Automatyczna
Peugeot,Peugeot 408 1.2 PureTech mHEV GT Exclusive S&S e-DCS6,137900,PLN,Benzyna,3,2026,Automatyczna
BAIC,BAIC X7,95900,PLN,Benzyna,50,2023,Automatyczna
Citroën,Citroën Berlingo M 1.2 PureTech Feel S&S N1,74900,PLN,Benzyna,12500,2023,Manualna
Volkswagen,Volkswagen Arteon 2.0 TSI 4Motion Elegance DSG,117900,PLN,Benzyna,120714,2021,Automatyczna
Fiat,Fiat Tipo 1.4 16v Pop,29900,PLN,Benzyna,111000,2017,Manualna
Hyundai,Hyundai Sonata,4500,PLN,Diesel,370360,2007,Manualna
Audi,Audi Q7 50 TDI mHEV Quattro Tiptr,334909,PLN,Diesel,67000,2023,Automatyczna
Citroën,Citroën C4 Picasso 1.6 VTi Selection,31500,PLN,Benzyna,121000,2014,Manualna
Ford,Ford Scorpio,4300,PLN,Benzyna+LPG,202974,1997,Automatyczna
BMW,BMW X1 sDrive20d,27999,PLN,Diesel,227008,2009,Manualna
MINI,MINI John Cooper Works ALL4 Classic Trim sport,119900,PLN,Benzyna,53356,2022,Automatyczna
Volkswagen,Volkswagen Tiguan 1.5 eTSI Life Plus DSG,154910,PLN,Benzyna,10,2026,Automatyczna
Peugeot,Peugeot 2008,24800,PLN,Benzyna,95000,2016,Manualna
Volkswagen,Volkswagen Passat 2.0 FSI Highline,9900,PLN,Benzyna,311000,2006,Manualna
Audi,Audi A1 Sportback 1.0 TFSI ultra S tronic,36000,PLN,Benzyna,77000,2017,Automatyczna
Skoda,Skoda Superb 2.0 TSI L&K DSG,194700,PLN,Benzyna,7,2026,Automatyczna
BMW,BMW Seria 1 116i Sport Line,27990,PLN,Benzyna,163000,2012,Manualna
Cupra,Cupra Terramar,194900,PLN,Benzyna,4736,2025,Automatyczna
Cupra,Cupra Leon Sportstourer,163883,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Leon Sportstourer,155900,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Leon,139900,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Terramar,184900,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Formentor,173769,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Formentor,143900,PLN,Benzyna,10,2025,Automatyczna
Cupra,Cupra Formentor,146473,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Formentor,174500,PLN,Benzyna,10,2026,Automatyczna
Cupra,Cupra Formentor,159900,PLN,Benzyna,10,2026,Automatyczna
Opel,Opel Frontera 1.2 T mHEV GS eDTC6,104500,PLN,Benzyna,2,2026,Automatyczna
Ford,Ford Mondeo 1.5 EcoBoost Edition,36999,PLN,Benzyna,170841,2016,Manualna
Mazda,Mazda CX-3 SKYACTIV-G 121 FWD Selection,72999,PLN,Benzyna,56412,2021,Manualna
Ford,Ford S-Max 2.0 Trend,30000,PLN,Benzyna+LPG,217009,2010,Manualna
Opel,"Opel Vivaro L2H1 2,9t Edition Elegance",58000,PLN,Diesel,185000,2018,Manualna
Opel,Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Color Innovation,48999,PLN,Benzyna+LPG,112974,2017,Manualna
Mazda,Mazda CX-30 SKYACTIV-X 2.0 M-Hybrid SELECTION,83900,PLN,Benzyna,124990,2020,Automatyczna
Mazda,Mazda CX-30 SKYACTIV-G 2.0 M-Hybrid 150,67999,PLN,Benzyna,177220,2020,Automatyczna
Toyota,Toyota Land Cruiser KJ90 3.0 TD,45000,PLN,Diesel,466225,1997,Manualna
Fiat,Fiat 500X 1.3 FireFly Turbo DCT 4x2 S&S Cross,53700,PLN,Benzyna,119500,2019,Automatyczna
Opel,Opel Zafira 1.8 Cosmo,15000,PLN,Benzyna,200000,2011,Manualna
Volkswagen,Volkswagen Caravelle,29900,PLN,Diesel,315239,2003,Manualna
Ford,Ford S-Max 2.0 TDCi 4WD Titanium,48999,PLN,Diesel,250000,2016,Manualna
Audi,Audi Q5 2.0 TDI Quattro Sport S tronic,86600,PLN,Diesel,232500,2018,Automatyczna
Land Rover,Land Rover Range Rover Evoque 2.0 D200 mHEV Dynamic SE,199000,PLN,Diesel,13700,2025,Automatyczna
Peugeot,Peugeot 2008 PureTech 110 Stop&Start Crossway,37999,PLN,Benzyna,45024,2019,Manualna
BAIC,BAIC BJ30,178300,PLN,Hybryda,10,2026,Automatyczna
BAIC,BAIC 5,122200,PLN,Benzyna,10,2026,Automatyczna
BAIC,BAIC 3,74900,PLN,Benzyna,10,2026,Manualna
BAIC,BAIC 5,102800,PLN,Benzyna,10,2026,Automatyczna
Alfa Romeo,Alfa Romeo Giulia,75000,PLN,Benzyna,106900,2017,Automatyczna
BAIC,BAIC BJ60,276900,PLN,Benzyna,10,2025,Automatyczna
BAIC,BAIC 5,119300,PLN,Benzyna,10,2026,Automatyczna
BMW,BMW X1 xDrive18d Sport Line,62999,PLN,Diesel,192140,2017,Automatyczna
Ford,Ford Fiesta 1.0 EcoBoost STart-Stop Trend,19999,PLN,Benzyna,118052,2016,Manualna
Mercury,Mercury Marquis,19900,PLN,Benzyna+LPG,376500,2000,Automatyczna
Dodge,Dodge Charger,51499,PLN,Benzyna,196000,2015,Automatyczna
Nissan,Nissan Juke 1.6 Start/Stop Acenta,26500,PLN,Benzyna,206493,2014,Manualna
Porsche,Porsche Panamera 4S E-Hybrid PHEV,743800,PLN,Hybryda Plug-in,3000,2026,Automatyczna
Nissan,Nissan Qashqai 1.6 dCi Tekna S&S,39000,PLN,Diesel,196654,2015,Manualna
Audi,Audi Q3 45 TFSI Quattro S tronic,149000,PLN,Benzyna,43000,2022,Automatyczna
Toyota,Toyota Proace Verso,77899,PLN,Diesel,90353,2021,Manualna
Renault,Renault Captur ENERGY TCe 120 Experience,33900,PLN,Benzyna,146000,2016,Manualna
Opel,Opel Grandland X Plug-in-Hybrid4 1.6 DI Start/Stop Business Edition,73999,PLN,Hybryda Plug-in,64393,2020,Automatyczna
Hyundai,Hyundai Inster,114800,PLN,Elektryczny,13,2025,Automatyczna
Ford,Ford Kuga 2.0 TDCi 4x4 Titanium,24999,PLN,Diesel,216329,2009,Manualna
Opel,Opel Astra 2.0 DTI,2000,PLN,Diesel,258423,2002,Manualna
Skoda,Skoda Octavia 2.0 TDI Ambition DSG,69900,PLN,Diesel,142000,2022,Automatyczna
Volkswagen,Volkswagen Caddy,36900,PLN,Diesel,252000,2020,Manualna
Opel,Opel Astra 1.4 Turbo Dynamic,44900,PLN,Benzyna,139998,2019,Manualna
Citroën,Citroën C4 PureTech 130 Stop&Start MAX,59999,PLN,Benzyna,6148,2024,Manualna
Toyota,Toyota Corolla,102850,PLN,Hybryda,93456,2020,Automatyczna
Opel,Opel Astra 1.4 T EU6,42900,PLN,Benzyna,150000,2018,Manualna
Opel,Opel Astra,115500,PLN,Benzyna,1000,2026,Automatyczna
Citroën,Citroën C4 Aircross,9900,PLN,Diesel,292000,2012,Manualna
Seat,Seat Ateca 1.5 Eco TSI FR S&S,71900,PLN,Benzyna,106000,2021,Manualna
Volkswagen,Volkswagen Passat 2.0 TDI BMT Highline DSG7,66999,PLN,Diesel,179999,2019,Automatyczna
Land Rover,Land Rover Defender 4.4 P635 V8 mHEV Octa Black,979000,PLN,Benzyna,1000,2026,Automatyczna
Nissan,Nissan Pulsar 1.2 DIG-T Tekna,29900,PLN,Benzyna,62770,2015,Manualna
Forthing,Forthing S7 REEV,159900,PLN,Hybryda Plug-in,22,2026,Automatyczna
Citroën,Citroën C5 Aircross,48900,PLN,Benzyna,123500,2019,Manualna
Nissan,Nissan Qashqai 2.0 dCi 4x4 Tekna Premium,15900,PLN,Diesel,235000,2008,Manualna
Opel,Opel Insignia 2.0 CDTI 4x4 Elite S&S,46900,PLN,Diesel,185043,2019,Automatyczna
Chery,Chery Tiggo 8 1.5 T-GDI Super Hybrid Comfort DCT,136500,PLN,Hybryda Plug-in,7000,2025,Automatyczna
Peugeot,Peugeot Partner BlueHDi 120 Stop&Start Outdoor,36999,PLN,Diesel,194617,2017,Manualna
Mercedes-Benz,Mercedes-Benz Klasa C,51900,PLN,Diesel,215000,2015,Automatyczna
Audi,Audi A4 Avant 35 TFSI mHEV S tronic,99900,PLN,Benzyna,86000,2023,Automatyczna
Kia,Kia Niro 1.6 GDI Hybrid L,43665,PLN,Hybryda,316320,2019,Automatyczna
Volvo,Volvo V90 Cross Country D5 SCR AWD,87900,PLN,Diesel,258251,2016,Automatyczna
Hyundai,Hyundai i20 1.0 T-GDI Advantage+,35999,PLN,Benzyna,139985,2020,Manualna
BMW,BMW Seria 2 218d Sport Line,90000,PLN,Diesel,101000,2021,Automatyczna
Peugeot,Peugeot 508 1.6 PureTech GT S&S EAT8,81900,PLN,Benzyna,77500,2021,Automatyczna
Volkswagen,Volkswagen Arteon 1.5 TSI Elegance,91900,PLN,Benzyna,97000,2023,Manualna
Audi,Audi A6 Limousine,66000,PLN,Benzyna,176233,2015,Automatyczna
Opel,Opel Insignia 2.0 CDTI ecoFLEX Start/Stop,21500,PLN,Diesel,170859,2013,Manualna
Toyota,Toyota Camry,185850,PLN,Hybryda,9205,2024,Automatyczna
Citroën,Citroën C4 Picasso 1.6 THP Exclusive,32500,PLN,Benzyna,134558,2015,Manualna
Mercedes-Benz,Mercedes-Benz Klasa A 250 4-Matic AMG Line 7G-DCT,139900,PLN,Benzyna,57671,2023,Automatyczna
Mazda,Mazda 626,19500,PLN,Benzyna,161000,1988,Automatyczna
Mercedes-Benz,Mercedes-Benz GLC 200 mHEV 4-Matic Avantgarde,249900,PLN,Benzyna,4546,2025,Automatyczna
Audi,Audi A4 Limousine 2.0 TFSI Quattro Sport S tronic,25000,PLN,Benzyna,132000,2018,Automatyczna
BMW,BMW Seria 3 318i M Sport sport,119900,PLN,Benzyna,36641,2021,Automatyczna
Peugeot,Peugeot RCZ,30900,PLN,Benzyna,111000,2014,Manualna
Mercedes-Benz,Mercedes-Benz Klasa C 300 d mHEV Avantgarde,155000,PLN,Diesel,63024,2021,Automatyczna
Ford,Ford C-MAX 1.6 Titanium,11699,PLN,Benzyna,199000,2009,Manualna
Audi,Audi A3 Sportback,2900,PLN,Benzyna+LPG,280000,1997,Manualna
Chery,Chery Tiggo 9 1.5 T-GDI Super Hybrid Prestige 3DHT,185900,PLN,Hybryda Plug-in,5,2026,Automatyczna
Volkswagen,Volkswagen Tiguan 2.0 TSI OPF 4MOTION DSG R-Line,75900,PLN,Benzyna,6000,2025,Automatyczna
Audi,Audi S5 Sportback 3.0 TFSI Quattro Tiptronic,124000,PLN,Benzyna,62277,2018,Automatyczna
MG,MG HS 1.5T HEV+ Exclusive,129500,PLN,Hybryda,5,2026,Automatyczna
MG,MG MG3,92250,PLN,Hybryda,10,2026,Automatyczna
MG,MG HS PHEV 1.5T Excite,126900,PLN,Hybryda Plug-in,10,2024,Automatyczna
MG,MG S9,175055,PLN,Hybryda Plug-in,5,2026,Automatyczna
Mercedes-Benz,Mercedes-Benz W123,33900,PLN,Benzyna,287000,1981,Manualna
Opel,Opel Corsa 1.2 Edition S&S,38990,PLN,Benzyna,65000,2020,Manualna
Opel,Opel Mokka 1.7 CDTI ecoFLEX Start/Stop 4x4 Innovation,35900,PLN,Diesel,115000,2014,Manualna
Honda,Honda HR-V 1.5 i-VTEC CVT Elegance,49999,PLN,Benzyna,186000,2016,Automatyczna
Dacia,Dacia Duster 1.8 Full Hybrid 155 Journey MMT,106499,PLN,Hybryda,5,2026,Automatyczna
MG,MG HS 1.5 T-GDI Exclusive DCT,119900,PLN,Benzyna,8854,2025,Automatyczna
Fiat,Fiat Panda,13900,PLN,Benzyna,105000,2012,Manualna
Ford,Ford Tourneo Custom,224900,PLN,Diesel,11,2026,Automatyczna
Opel,Opel Insignia 1.8 Cosmo,19600,PLN,Benzyna,169000,2010,Manualna
Land Rover,Land Rover Range Rover Sport S 3.0 D HSE Dynamic Stealth,459000,PLN,Diesel,18500,2025,Automatyczna
Seat,Seat Leon 1.4 TSI Start&Stop FR,53900,PLN,Benzyna,137000,2018,Manualna
Nissan,Nissan Qashqai 2.0 dCi 4 x 4 DPF tekna,26970,PLN,Diesel,215000,2011,Automatyczna
Ford,Ford Mondeo,5700,PLN,Diesel,370120,2005,Manualna
BMW,BMW X1,227000,PLN,Diesel,5500,2024,Automatyczna
Opel,Opel Agila 1.2 Edition,11900,PLN,Benzyna,210591,2010,Manualna
Honda,Honda Civic 1.0 i-VTEC Turbo Comfort Sport Line,56900,PLN,Benzyna,85900,2019,Manualna
Audi,Audi A5 Sportback 2.0 TFSI S tronic,39900,PLN,Benzyna+LPG,170000,2020,Automatyczna
BMW,BMW Seria 1 118i M Sport,27500,PLN,Benzyna,150271,2013,Manualna
Volkswagen,Volkswagen Touran 1.5 TSI EVO Highline DSG,134000,PLN,Benzyna,45100,2023,Automatyczna
Cupra,Cupra Terramar 1.5 eTSI mHEV DSG,149900,PLN,Benzyna,26050,2025,Automatyczna
Fiat,Fiat Panda,2100,PLN,Benzyna,384500,2005,Manualna
Volkswagen,Volkswagen Passat 2.0 TDI BMT 4Mot Highline,38500,PLN,Diesel,369000,2015,Manualna
Dodge,"Dodge Durango 3,6 Citadel",159000,PLN,Benzyna,34889,2022,Automatyczna
Fiat,Fiat Scudo Panorama L2H1 Family,20800,PLN,Diesel,273000,2008,Manualna
Volvo,Volvo XC 40,108899,PLN,Benzyna,80851,2023,Automatyczna
Audi,Audi A3 Sportback 1.5 TFSI S tronic,96899,PLN,Benzyna,17395,2023,Automatyczna
Jeep,Jeep Cherokee 3.2 V6 Active Drive Lock Trailhawk,59500,PLN,Benzyna,158693,2015,Automatyczna
BMW,BMW Seria 1 125d,41500,PLN,Diesel,204000,2013,Automatyczna
Opel,Opel Grandland X 1.6 T PHEV 4x4 Elite,85700,PLN,Hybryda Plug-in,44000,2020,Automatyczna
Peugeot,Peugeot 508,31900,PLN,Diesel,235953,2016,Manualna
Kia,Kia Sportage 1.6 T-GDI L Business Line 2WD,70900,PLN,Benzyna+LPG,180000,2017,Manualna
Opel,Opel Astra 1.4 T Dynamic S&S,50000,PLN,Benzyna,116200,2019,Automatyczna
Hyundai,Hyundai Veloster,71900,PLN,Benzyna,51000,2019,Manualna
Citroën,Citroën C3 1.2 PureTech Feel,22800,PLN,Benzyna,119789,2017,Manualna
Dacia,Dacia Lodgy 1.6 SCe Stepway S&S,34000,PLN,Benzyna,87295,2018,Manualna
Citroën,Citroën C3 1.2 PureTech Feel,26500,PLN,Benzyna,68776,2017,Manualna
Skoda,Skoda Octavia 2.0 TDI Sportline DSG,44000,PLN,Diesel,170000,2022,Automatyczna
Audi,Audi S5 Coupé 3.0 TFSI Quattro S tronic,51000,PLN,Benzyna,242000,2013,Automatyczna
Audi,Audi S3 2.0 TFSI Quattro S tronic,59999,PLN,Benzyna,245000,2010,Automatyczna
Ford,Ford Fiesta 1.0 EcoBoost Hybrid S&S ACTIVE VIGNALE,42500,PLN,Benzyna,72912,2019,Manualna
Ford,Ford KA,9900,PLN,Benzyna,184620,2009,Manualna
Fiat,Fiat Tipo 1.0 T3 City Life,56900,PLN,Benzyna,56100,2022,Manualna
Opel,Opel Zafira 2.2 Diesel XL Business,177900,PLN,Diesel,5,2026,Automatyczna
Opel,Opel Mokka 1.4 T Enjoy S&S 4x4,32900,PLN,Benzyna,175353,2013,Manualna
Renault,Renault Scenic,19900,PLN,Benzyna,131361,2013,Manualna
Mazda,Mazda CX-7 2.2 CD Exclusive,11900,PLN,Diesel,324000,2010,Manualna
Toyota,Toyota Auris,35600,PLN,Benzyna,232405,2014,Automatyczna
Volkswagen,Volkswagen Polo 1.2 Team,15999,PLN,Benzyna,173000,2010,Manualna
