Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów
Citroën,Citroën Berlingo 1.4i Advance,8500,PLN,Benzyna,224085,2007,Manualna
Audi,Audi A3 3-drzwiowe 1.4 TFSI S line Sportpaket,19900,PLN,Benzyna,176000,2013,Manualna
Fiat,Fiat Freemont 2.0 Multijet,22800,PLN,Diesel,231000,2012,Manualna
Chevrolet,Chevrolet Aveo 1.2 16V LS Design+,6500,PLN,Benzyna,160407,2008,Manualna
BMW,BMW Seria 1,14900,PLN,Benzyna,285000,2005,Manualna
Mercedes-Benz,Mercedes-Benz Klasa B 200 d 7G-DCT Edition,27700,PLN,Diesel,56000,2018,Automatyczna
Mercedes-Benz,Mercedes-Benz GLC,169000,PLN,Hybryda Plug-in,101582,2021,Automatyczna
Ford,Ford S-Max 2.0 TDCi DPF Titanium,23900,PLN,Diesel,292600,2012,Manualna
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,43500,PLN,Benzyna,147000,2013,Manualna
Skoda,Skoda Superb,104900,PLN,Diesel,118100,2022,Automatyczna
Toyota,Toyota Hilux 3.0 D-4D Invincible,69000,PLN,Diesel,222000,2011,Automatyczna
Seat,Seat Ibiza,77900,PLN,Benzyna,14500,2025,Manualna
Renault,Renault Laguna,28900,PLN,Benzyna,167150,2014,Manualna
Volkswagen,Volkswagen Caravelle,157900,PLN,Diesel,62500,2022,Manualna
Seat,Seat Alhambra,49900,PLN,Diesel,222900,2014,Automatyczna
Kia,Kia Sportage,106500,PLN,Benzyna,75300,2023,Automatyczna
Fiat,Fiat Freemont,28900,PLN,Diesel,226950,2013,Automatyczna
Toyota,Toyota Yaris,74900,PLN,Hybryda,55500,2023,Automatyczna
Skoda,Skoda Fabia,68900,PLN,Benzyna,70485,2023,Manualna
Skoda,Skoda Kamiq,81900,PLN,Benzyna,42500,2022,Automatyczna
Ford,Ford Kuga,82900,PLN,Benzyna,76300,2022,Manualna
Ford,Ford Kuga,51900,PLN,Diesel,155500,2017,Automatyczna
Seat,Seat Tarraco,89500,PLN,Benzyna,77860,2022,Manualna
Kia,Kia Ceed,96500,PLN,Benzyna,96500,2022,Manualna
Seat,Seat Ibiza,53900,PLN,Benzyna,83500,2022,Manualna
Alfa Romeo,Alfa Romeo Giulietta,10500,PLN,Diesel,224722,2012,Manualna
Mercedes-Benz,Mercedes-Benz GLK 220 CDI DPF 4Matic BlueEFFICIENCY 7G-TRONIC,16600,PLN,Diesel,99000,2009,Automatyczna
BMW,BMW Seria 3 318i Advantage,54900,PLN,Benzyna,131000,2018,Automatyczna
Citroën,Citroën C5,7500,PLN,Diesel,412330,2006,Manualna
Audi,Audi A4 Avant 40 TDI S tronic design,73700,PLN,Diesel,99500,2017,Automatyczna
Kia,Kia Sportage,71900,PLN,Benzyna,47000,2021,Automatyczna
Skoda,Skoda Octavia,17000,PLN,Diesel,345000,2011,Manualna
Ford,Ford Fiesta 1.6 Ti-VCT Ghia,12900,PLN,Benzyna,154000,2010,Manualna
Mercedes-Benz,Mercedes-Benz Klasa C,129900,PLN,Benzyna,81200,2021,Automatyczna
Toyota,Toyota Auris 1.6 VVT-i Executive,17400,PLN,Benzyna,180000,2008,Manualna
Audi,Audi A4 Avant,108900,PLN,Benzyna,89300,2023,Automatyczna
Ford,Ford Mondeo 1.8 TDCi Ambiente,2900,PLN,Diesel,220000,2010,Manualna
Renault,Renault Captur ENERGY TCe 90 Start&Stop Experience,21800,PLN,Benzyna,105000,2018,Manualna
Ford,Ford Puma 1.0 EcoBoost Hybrid ST-LINE,65900,PLN,Benzyna,67000,2022,Manualna
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,46500,PLN,Benzyna,154020,2014,Manualna
Mercedes-Benz,Mercedes-Benz GLA 250 AMG Line,112500,PLN,Benzyna,92508,2022,Automatyczna
Ford,Ford Kuga 2.0 TDCi 2x4 Trend,19400,PLN,Diesel,228000,2014,Manualna
Mercedes-Benz,Mercedes-Benz CL 63 AMG 7G-TRONIC,79900,PLN,Benzyna,164000,2008,Automatyczna
Volvo,Volvo XC 90 T8 AWD Plug-In Hybrid Ultimate Bright 7os,234900,PLN,Hybryda Plug-in,98000,2022,Automatyczna
Audi,Audi A3 Sportback,29999,PLN,Diesel,264000,2011,Automatyczna
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Exclusiv-Paket,60800,PLN,Benzyna,147091,2015,Manualna
Audi,Audi A5 Sportback 2.0 TDI DPF quattro,44500,PLN,Diesel,197090,2010,Manualna
Dacia,Dacia Duster TCe 130 2WD GPF Prestige,49900,PLN,Benzyna,118000,2019,Manualna
Dacia,Dacia Duster TCe 125 2WD Prestige,29900,PLN,Benzyna,69000,2016,Manualna
Volvo,Volvo 340,8500,PLN,Benzyna,146634,1983,Manualna
Audi,Audi A1 3-drzwiowe 1.6 TDI admired,18600,PLN,Diesel,197000,2011,Manualna
Mercedes-Benz,Mercedes-Benz Klasa E AMG 53 4Matic+ AMG Speedshift TCT-9G,109000,PLN,Benzyna,165000,2019,Automatyczna
Ford,Ford Fiesta 1.25 Champions Edition,19900,PLN,Benzyna,166000,2014,Manualna
Ford,Ford Kuga 1.5 EcoBoost FWD Edition ASS GPF,65000,PLN,Benzyna+LPG,102000,2018,Manualna
Volvo,Volvo XC 60 B4 D AWD Ultimate Dark,199900,PLN,Diesel,66000,2023,Automatyczna
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,66800,PLN,Benzyna,151657,2017,Manualna
Skoda,Skoda Fabia 1.2 TSI Comfort,12900,PLN,Benzyna,139000,2010,Manualna
Ford,Ford Fiesta,26900,PLN,Benzyna,165000,2014,Manualna
BMW,BMW Seria 7,249000,PLN,Benzyna,150000,2017,Automatyczna
BMW,BMW Seria 5 520d xDrive,46900,PLN,Diesel,237188,2016,Automatyczna
Skoda,Skoda Roomster 1.9 TDI,2000,PLN,Diesel,450000,2008,Manualna
Kia,Kia Sportage,69900,PLN,Diesel,158000,2022,Manualna
MINI,MINI ONE,55000,PLN,Benzyna,133000,2019,Manualna
Peugeot,Peugeot 308,38500,PLN,Diesel,150000,2018,Manualna
Ford,Ford S-Max 2.0 TDCi Ambiente,12500,PLN,Diesel,273000,2008,Manualna
Ford,Ford Focus,58500,PLN,Benzyna,165714,2018,Manualna
Ford,Ford Focus,57800,PLN,Benzyna,180600,2017,Manualna
Kia,Kia Soul,14444,PLN,Benzyna,168000,2009,Manualna
Volvo,Volvo XC 40 B4 B AWD Momentum,103000,PLN,Benzyna,69362,2021,Automatyczna
Ford,Ford Fiesta 1.5 TDCi S&S ST-LINE,46000,PLN,Diesel,110000,2018,Manualna
Mazda,Mazda CX-3 SKYACTIV-D 105 FWD Exclusive-Line,43500,PLN,Diesel,163000,2015,Manualna
Alfa Romeo,Alfa Romeo Giulia 2.2 AT8 Executive,56000,PLN,Diesel,110000,2017,Automatyczna
Mercedes-Benz,Mercedes-Benz GLC 200 mHEV 4-Matic AMG Line,249600,PLN,Benzyna,12480,2024,Automatyczna
Volvo,Volvo C30 D4 RDesign,41700,PLN,Diesel,179000,2011,Manualna
Opel,Opel Astra 1.6 Cosmo EU6,28500,PLN,Benzyna,84000,2015,Manualna
Mercedes-Benz,Mercedes-Benz GLB 200 d 4-Matic AMG Line 8G-DCT,122000,PLN,Diesel,123000,2020,Automatyczna
Peugeot,Peugeot 307 1.6 HDi,3550,PLN,Diesel,330743,2006,Manualna
Renault,Renault Clio 1.2 16V Alize Euro5,11400,PLN,Benzyna,185000,2012,Manualna
Porsche,Porsche 911,199900,PLN,Benzyna,82618,2005,Automatyczna
Peugeot,Peugeot 308 BlueHDi 130 Stop & Start Active,64900,PLN,Diesel,78000,2022,Manualna
Cupra,Cupra Ateca 2.0 TSI 4Drive DSG Limited Edition,57900,PLN,Benzyna,67000,2020,Automatyczna
BMW,BMW Seria 4,78900,PLN,Diesel,154000,2019,Automatyczna
Honda,Honda HR-V 1.5 Elegance (ADAS) CVT,59999,PLN,Benzyna,100270,2017,Automatyczna
Opel,Opel Astra 1.4 T Essentia,29950,PLN,Benzyna,159000,2015,Manualna
Ford,Ford Mondeo 2.0 TDCi Titanium,15900,PLN,Diesel,249000,2010,Manualna
Ford,Ford S-Max 2.0 TDCi DPF Titanium,26900,PLN,Diesel,279950,2014,Manualna
Volvo,Volvo XC 60 B4 D AWD Momentum,83700,PLN,Diesel,135000,2021,Automatyczna
Chevrolet,Chevrolet Cruze 1.4 T LT,9500,PLN,Benzyna,178819,2012,Manualna
Opel,Opel Astra 1.6 Catch me,8900,PLN,Benzyna+LPG,237000,2006,Manualna
Audi,Audi A4 Avant,6900,PLN,Benzyna,319000,2005,Automatyczna
Opel,Opel Meriva 1.4 T Cosmo,35900,PLN,Benzyna,106788,2016,Automatyczna
Mitsubishi,Mitsubishi Eclipse Cross 1.5 T Intense CVT,58900,PLN,Benzyna,157000,2018,Automatyczna
Renault,Renault Laguna dCi 175 FAP GT,21900,PLN,Diesel,238622,2012,Automatyczna
Ford,Ford Focus 1.0 EcoBoost Start-Stopp-System COOL&CONNECT,22500,PLN,Benzyna,165000,2017,Manualna
Renault,Renault Grand Scenic,29999,PLN,Benzyna,159000,2014,Manualna
Opel,Opel Mokka 1.6 Cosmo S&S,34900,PLN,Benzyna,149000,2016,Manualna
Ford,Ford Focus 1.6 EcoBoost Titanium,17900,PLN,Benzyna,160800,2012,Manualna
BMW,BMW Seria 4 435d xDrive Sport-Aut M Sport,69990,PLN,Diesel,187500,2014,Automatyczna
Renault,Renault Megane TCe 115 GPF ZEN,44900,PLN,Benzyna,137912,2022,Manualna
Ford,Ford Fiesta 1.25 Ambiente,13500,PLN,Benzyna,182000,2010,Manualna
Ford,Ford Focus 1.0 EcoBoost Titanium ASS,12000,PLN,Benzyna,164544,2013,Manualna
Ford,Ford B-MAX 1.0 EcoBoost Individual,19000,PLN,Benzyna,140000,2013,Manualna
Renault,Renault Captur,31500,PLN,Benzyna,153000,2017,Automatyczna
BMW,BMW Seria 2 220i Sport-Aut Sport Line,21900,PLN,Benzyna,103511,2019,Automatyczna
Volkswagen,Volkswagen Golf 1.2 TSI Trendline,13000,PLN,Benzyna,210000,2010,Manualna
Volkswagen,Volkswagen Touran,8800,PLN,Benzyna,303000,2003,Manualna
MINI,MINI Clubman Cooper,44900,PLN,Benzyna,169601,2017,Automatyczna
Volkswagen,Volkswagen Caddy,25900,PLN,Diesel,318236,2014,Manualna
BMW,BMW Seria 3 320d xDrive M Sport Shadow,189800,PLN,Diesel,45000,2024,Automatyczna
Kia,Kia Rio 1.0 T-GDI MHEV GT Line,45990,PLN,Benzyna,75953,2021,Manualna
BMW,BMW Seria 5 520d xDrive,222800,PLN,Diesel,72000,2024,Automatyczna
Renault,Renault Megane 1.2 16V TCe Energy Limited,15700,PLN,Benzyna,180000,2013,Manualna
Suzuki,Suzuki Vitara 1.4 Boosterjet XLED Sun 4WD,69900,PLN,Benzyna,104000,2020,Manualna
Skoda,Skoda Octavia 2.0 TDI Ambition DSG,70970,PLN,Diesel,148836,2022,Automatyczna
Opel,Opel Astra,8400,PLN,Benzyna,195000,2009,Manualna
Renault,Renault Grand Scenic Energy dCi 130 Start & Stop Bose Edition,19900,PLN,Diesel,280001,2012,Manualna
Opel,Opel Astra 1.7 CDTI DPF Sport,14000,PLN,Diesel,180000,2012,Manualna
Skoda,Skoda Fabia,26500,PLN,Benzyna,155025,2017,Manualna
Toyota,Toyota Proace Verso,153840,PLN,Diesel,63088,2024,Manualna
Kia,Kia Ceed 1.6 GDI Fifa World Cup Edition,36900,PLN,Benzyna,156000,2016,Manualna
Honda,Honda Civic 1.8 Comfort,16000,PLN,Benzyna,260000,2009,Manualna
BMW,BMW Seria 4 420d xDrive M Sport sport,239800,PLN,Diesel,14700,2025,Automatyczna
Hyundai,Hyundai i30 1.6 Premium,31900,PLN,Benzyna,145730,2015,Manualna
Citroën,Citroën C5 Aircross 1.6 PHEV 225 Shine Pack EAT8,74700,PLN,Hybryda Plug-in,148400,2022,Automatyczna
Renault,Renault Megane,4000,PLN,Diesel,246000,2005,Manualna
Opel,Opel Meriva,14000,PLN,Benzyna,181000,2011,Manualna
Jeep,Jeep Grand Cherokee,95400,PLN,Benzyna,174841,2017,Automatyczna
Renault,Renault Clio Energy TCe 90 Start & Stop 99g Eco-Drive,20900,PLN,Benzyna,156032,2013,Manualna
Hyundai,Hyundai ix35 2.0 CRDi 4WD Premium,38900,PLN,Diesel,150000,2014,Manualna
Kia,Kia Ceed 1.6 GDI Dream Team Edition,31900,PLN,Benzyna,170000,2015,Manualna
BMW,BMW X2,96900,PLN,Diesel,85000,2022,Automatyczna
Opel,Opel Insignia 2.0 CDTI Edition,31000,PLN,Diesel,179797,2016,Automatyczna
Opel,Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Color Innovation,42900,PLN,Benzyna,80617,2015,Manualna
Toyota,Toyota Avensis 2.0 Prestige MS,44500,PLN,Benzyna+LPG,204764,2016,Automatyczna
Volvo,Volvo V60 B4 D Inscription,68000,PLN,Diesel,209000,2020,Automatyczna
Lancia,Lancia Ypsilon,6999,PLN,Benzyna,115000,2007,Manualna
Mitsubishi,Mitsubishi Outlander,17999,PLN,Diesel,178000,2009,Manualna
Abarth,Abarth 500 ver-1-4-16v-t--jet-abarth,34000,PLN,Benzyna,154735,2016,Manualna
Citroën,Citroën DS3,21500,PLN,Benzyna,98000,2013,Manualna
Land Rover,Land Rover Range Rover Velar 2.0 Si4 GPF R-Dynamic SE,137700,PLN,Benzyna,95000,2018,Automatyczna
Renault,Renault Modus 1.2 16V Alize,4500,PLN,Benzyna,188755,2005,Manualna
Ford,Ford Fiesta 1.5 EcoBoost ST2 ASS,56666,PLN,Benzyna,110000,2019,Manualna
Ford,Ford EcoSport 1.0 EcoBoost Titanium ASS,56600,PLN,Benzyna,79200,2020,Manualna
Ford,Ford EcoSport,28800,PLN,Benzyna,69600,2016,Manualna
BMW,BMW X1 xDrive20i M Sport,97500,PLN,Benzyna,72000,2019,Automatyczna
BMW,BMW Seria 3 318 Ci Edition Exclusive,24900,PLN,Benzyna,232555,2004,Manualna
Ford,Ford Focus 1.5 EcoBlue Start-Stopp-System ACTIVE X,52999,PLN,Diesel,161000,2021,Automatyczna
Skoda,Skoda Fabia 1.4 TDI DSG Ambition,29700,PLN,Diesel,169000,2016,Automatyczna
Peugeot,Peugeot 208 PureTech 100 Allure,46999,PLN,Benzyna,56000,2023,Manualna
Ford,Ford EcoSport 1.0 EcoBoost ST-Line Black ASS,49900,PLN,Benzyna,58200,2020,Manualna
Mazda,Mazda 6 Sport 2.0 Dynamic,14900,PLN,Benzyna,239500,2008,Manualna
Opel,Opel Grandland X 1.2 Start/Stop Automatik INNOVATION,52999,PLN,Benzyna,134000,2020,Automatyczna
Ford,Ford C-MAX 1.6 Ti-VCT Ambiente,14999,PLN,Benzyna,239000,2011,Manualna
Nissan,Nissan Qashqai 1.3 DIG-T N-Connecta,59999,PLN,Benzyna,81000,2019,Manualna
Audi,Audi A4 Avant 1.8 TFSI Prime Line,24700,PLN,Benzyna,162000,2010,Manualna
Peugeot,Peugeot 208 BlueHDi 100 Active,26700,PLN,Diesel,87026,2018,Manualna
Ford,Ford B-MAX 1.0 EcoBoost Titanium EU6,22900,PLN,Benzyna,140000,2015,Manualna
Fiat,Fiat Panda 1.0 GSE Hybrid GARMIN,49700,PLN,Benzyna,20000,2023,Manualna
Citroën,Citroën C3 Pure Tech 83 S&S SHINE PACK,41999,PLN,Benzyna,50000,2023,Manualna
Renault,Renault Megane ENERGY TCe 115 Start & Stop Bose Edition,20999,PLN,Benzyna,121000,2013,Manualna
Peugeot,Peugeot 308 1.5 BlueHDi Active Pack S&S,52999,PLN,Diesel,147000,2022,Manualna
Opel,Opel Mokka,32999,PLN,Diesel,220000,2018,Manualna
Renault,Renault Scenic,46999,PLN,Diesel,198000,2021,Automatyczna
Skoda,Skoda Fabia 1.0 MPI Active,33999,PLN,Benzyna,69000,2019,Manualna
Opel,Opel Grandland X 1.2 Start/Stop Business INNOVATION,61999,PLN,Benzyna,130000,2022,Manualna
Hyundai,Hyundai ix35 1.7 CRDi Premium 2WD,33999,PLN,Diesel,194000,2015,Manualna
Renault,Renault Megane 1.4 16V TCE Bose Edition,19999,PLN,Benzyna,199000,2013,Manualna
Suzuki,Suzuki Ignis 1.3 Comfort,9999,PLN,Benzyna,154000,2005,Manualna
Renault,Renault Megane ENERGY dCi 130 BOSE EDITION,34999,PLN,Diesel,188000,2017,Manualna
Renault,Renault Scenic ENERGY dCi 110 EDC LIMITED,41999,PLN,Diesel,198000,2018,Automatyczna
Renault,Renault Megane 1.2 16V TCe Limited EDC EU6,25999,PLN,Benzyna,123000,2015,Automatyczna
Ford,Ford B-MAX 1.0 EcoBoost Trend,16999,PLN,Benzyna,165000,2014,Manualna
Peugeot,Peugeot 3008 225 e-EAT8 GT Pack,77600,PLN,Hybryda Plug-in,164000,2021,Automatyczna
Ford,Ford B-MAX,22900,PLN,Benzyna,161702,2015,Manualna
Renault,Renault Kadjar 1.5 dCi Energy Limited,40999,PLN,Diesel,136000,2016,Manualna
BMW,BMW Seria 4 418d Luxury Line,55999,PLN,Diesel,198000,2017,Automatyczna
Renault,Renault Arkana E-TECH 145 R.S.LINE,87999,PLN,Hybryda,25000,2023,Automatyczna
DS Automobiles,DS Automobiles DS 3 Crossback 1.2 PureTech Bastille,41999,PLN,Benzyna,121000,2019,Manualna
DS Automobiles,DS Automobiles DS 7 Crossback 1.6 PureTech Rivoli,77999,PLN,Benzyna,146000,2021,Automatyczna
Ford,Ford Fiesta 1.0 EcoBoost S&S TITANIUM,39999,PLN,Benzyna,125000,2022,Manualna
Ford,Ford Puma 1.0 EcoBoost TITANIUM,59999,PLN,Benzyna,44000,2024,Manualna
Alfa Romeo,Alfa Romeo Giulietta 2.0 JTDM 16V Turismo,19999,PLN,Diesel,199000,2011,Manualna
DS Automobiles,DS Automobiles DS 5,39999,PLN,Diesel,202000,2016,Manualna
Peugeot,Peugeot 208 PureTech 100 EAT8 GT,56999,PLN,Benzyna,55000,2021,Automatyczna
MINI,MINI Countryman Cooper S All4,29900,PLN,Benzyna,145000,2011,Manualna
Peugeot,Peugeot 508 BlueHDi 130 EAT8 Allure,57999,PLN,Diesel,150000,2020,Automatyczna
Ford,Ford Fiesta 1.1 COOL&CONNECT,31900,PLN,Benzyna,104798,2019,Manualna
Kia,"Kia Sportage 2,0 CRDI AWD Vision",40999,PLN,Diesel,173000,2015,Manualna
BMW,BMW Seria 5 520d xDrive,239777,PLN,Diesel,29000,2025,Automatyczna
Ford,Ford Fiesta 1.25 Trend,21000,PLN,Benzyna,176000,2015,Manualna
Lexus,Lexus NX 200t,78700,PLN,Benzyna,183017,2015,Automatyczna
Opel,Opel Mokka X,48000,PLN,Benzyna,85165,2016,Manualna
Renault,Renault Clio TCe 90 TECHNO,52500,PLN,Benzyna,42700,2022,Manualna
Skoda,Skoda Fabia 1.0 TSI Cool Plus,26900,PLN,Benzyna,142350,2017,Manualna
Opel,Opel Mokka 1.4 T Cosmo EU6,38900,PLN,Benzyna+LPG,127000,2016,Manualna
Ford,Ford C-MAX 1.8 Trend,12900,PLN,Benzyna,229222,2010,Manualna
Opel,Opel Astra 1.4 T Enjoy,33500,PLN,Benzyna,129232,2016,Manualna
Hyundai,Hyundai ix35 2.0 CRDi 4WD Premium,32900,PLN,Diesel,176300,2012,Manualna
Toyota,Toyota Corolla 2.0 Hybrid Comfort,89900,PLN,Hybryda,85000,2021,Automatyczna
Opel,Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Edition,47900,PLN,Benzyna,121000,2017,Manualna
Kia,Kia Sportage 1.6 GDI 2WD DREAM-TEAM EDITION,69900,PLN,Benzyna,101000,2020,Manualna
Audi,Audi A4 Avant 2.0 TDI DPF quattro S line Sportpaket,44900,PLN,Diesel,258000,2015,Manualna
Audi,Audi A3 Sportback 1.6 TDI DPF Ambiente,19999,PLN,Diesel,251515,2009,Manualna
BMW,BMW X1,65000,PLN,Diesel,175013,2015,Automatyczna
Ford,Ford Kuga 2.0 TDCi 4x4 ST-Line,64900,PLN,Diesel,167000,2017,Manualna
Jeep,Jeep Compass 2.0 MultiJet Active Drive Automatik Limited,57800,PLN,Diesel,179000,2020,Automatyczna
Toyota,Toyota Corolla,73999,PLN,Hybryda,60259,2019,Automatyczna
Suzuki,Suzuki Jimny,2500,PLN,Benzyna,185000,2002,Manualna
Mazda,Mazda CX-5 e-SKYACTIV-G 141 AWD Centre-Line,172200,PLN,Benzyna,2,2026,Automatyczna
Opel,Opel Zafira Tourer 1.4 Turbo Active,23000,PLN,Benzyna+LPG,227000,2012,Manualna
Kia,Kia Ceed 1.4 CVVT Spirit,34990,PLN,Benzyna,150000,2013,Manualna
Audi,Audi Q7 3.0 TDI DPF clean diesel Quattro Tiptronic,39900,PLN,Diesel,230000,2009,Automatyczna
BMW,BMW Seria 5 520d Luxury Line,95000,PLN,Diesel,177687,2021,Automatyczna
BMW,BMW Z4,28500,PLN,Benzyna,234789,2008,Manualna
Peugeot,Peugeot 3008 BlueHDi 130 Stop & Start EAT8 Allure Pack,69999,PLN,Diesel,139993,2022,Automatyczna
Peugeot,Peugeot 5008 BlueHDi 130 Active Pack,69900,PLN,Diesel,149998,2021,Manualna
Skoda,Skoda Superb 1.5 TSI ACT DSG Style,31500,PLN,Benzyna,111800,2018,Automatyczna
Mazda,Mazda CX-30 SKYACTIV-X 2.0 M-Hybrid 100th Anniversary,64999,PLN,Benzyna,159996,2021,Manualna
Skoda,Skoda Octavia 1.6 TDI Ambition,16950,PLN,Diesel,364320,2014,Manualna
Lexus,Lexus UX 250h GPF F Sport AWD,126900,PLN,Hybryda,68149,2021,Automatyczna
Audi,Audi A7 Sportback 55 TFSI mHEV Quattro S tronic,89000,PLN,Benzyna,47000,2020,Automatyczna
Mercedes-Benz,Mercedes-Benz CLA 45 AMG 4Matic 7G-DCT,37500,PLN,Benzyna,70266,2016,Automatyczna
Mercedes-Benz,Mercedes-Benz CLS 300 d 9G-TRONIC AMG Line,57900,PLN,Diesel,85343,2020,Automatyczna
